kernel,M_or_BT,K_or_C,N_or_T,max_abs_err,max_rel_err,status
GEMM,64,64,64,5.96046e-07,0.000229841,PASS
GEMM,128,256,128,3.8147e-06,0.0088986,PASS
GEMM,512,512,512,9.53674e-06,0.275812,FAIL
GEMM,1024,256,1024,4.76837e-06,0.0192158,FAIL
LayerNorm_base,8,64,0,1.19209e-07,5.33213e-06,PASS
LayerNorm_float4,8,64,0,1.78814e-07,7.70108e-06,PASS
LayerNorm_base,128,256,0,1.19209e-07,0.00103172,PASS
LayerNorm_float4,128,256,0,1.19209e-07,0.00103172,PASS
LayerNorm_base,1024,768,0,2.38419e-07,0.00901236,PASS
LayerNorm_float4,1024,768,0,2.38419e-07,0.00901236,PASS
FlashAttention,512,64,64,8.9407e-08,0.00795397,PASS
FlashAttention,1024,64,128,6.70552e-08,0.00731659,PASS
FlashAttention,2048,64,256,8.19564e-08,0.00368069,PASS
FusedResidualLN,8,64,0,1.19209e-07,9.44684e-06,PASS
FusedResidualLN,128,256,0,1.78814e-07,0.000994236,PASS
FusedResidualLN,1024,768,0,2.38419e-07,0.0408813,PASS
